Time,Bitcoin
01/01/2015,3
01/02/2015,3
01/03/2015,3
01/04/2015,2
01/05/2015,2
01/06/2015,2
01/07/2015,3
01/08/2015,3
01/09/2015,2
01/10/2015,2
01/11/2015,3
01/12/2015,3
01/01/2016,3
01/02/2016,3
01/03/2016,3
01/04/2016,3
01/05/2016,4
01/06/2016,5
01/07/2016,3
01/08/2016,3
01/09/2016,3
01/10/2016,3
01/11/2016,4
01/12/2016,5
01/01/2017,6
01/02/2017,6
01/03/2017,7
01/04/2017,6
01/05/2017,15
01/06/2017,15
01/07/2017,13
01/08/2017,21
01/09/2017,22
01/10/2017,22
01/11/2017,46
01/12/2017,100
01/01/2018,53
01/02/2018,40
01/03/2018,23
01/04/2018,18
01/05/2018,14
01/06/2018,13
01/07/2018,13
01/08/2018,12
01/09/2018,12
01/10/2018,9
01/11/2018,13
01/12/2018,12
01/01/2019,9
01/02/2019,9
01/03/2019,8
01/04/2019,12
01/05/2019,16
01/06/2019,20
01/07/2019,18
01/08/2019,15
01/09/2019,12
01/10/2019,12
01/11/2019,11
01/12/2019,10
01/01/2020,13
01/02/2020,14
01/03/2020,19
01/04/2020,15
01/05/2020,19
01/06/2020,15
01/07/2020,14
01/08/2020,15
01/09/2020,12
01/10/2020,13
01/11/2020,23
01/12/2020,32
01/01/2021,63
01/02/2021,67
01/03/2021,47
01/04/2021,51
01/05/2021,65
01/06/2021,44
01/07/2021,32
01/08/2021,31
01/09/2021,31
01/10/2021,35
01/11/2021,33
01/12/2021,34
01/01/2022,41
01/02/2022,35
01/03/2022,30
01/04/2022,23
01/05/2022,35
01/06/2022,40
01/07/2022,29
01/08/2022,23
01/09/2022,21
01/10/2022,18
01/11/2022,25
01/12/2022,18
01/01/2023,20
01/02/2023,19
01/03/2023,23
01/04/2023,20
01/05/2023,18
01/06/2023,18
01/07/2023,18
01/08/2023,17
01/09/2023,15
01/10/2023,19
01/11/2023,19
01/12/2023,23
01/01/2024,28
01/02/2024,25
01/03/2024,42
01/04/2024,30
01/05/2024,22
01/06/2024,19
01/07/2024,21
01/08/2024,22
01/09/2024,19
01/10/2024,17
01/11/2024,44
01/12/2024,40
01/01/2025,32
01/02/2025,27
01/03/2025,26
01/04/2025,22
01/05/2025,22
01/06/2025,19
01/07/2025,25
01/08/2025,34
01/09/2025,25
01/10/2025,32
01/11/2025,37
01/12/2025,29
01/01/2026,25
